label,weight,height
1442,131.5,63.5
1443,163.0,64.0
1444,152.0,67.0
1446,152.0,66.0
1447,248.0,72.0
1448,165.0,70.0
1449,137.0,66.0
1452,120.0,54.0
1455,201.0,72.5
1456,125.5,64.0
1458,142.0,61.0
1462,155.0,65.0
1464,218.5,71.0
1465,177.5,74.75
1468,122.0,68.0
1470,108.0,65.0
1472,148.0,67.0
1473,191.0,74.0
1474,168.5,66.5
1475,125.0,63.0
1477,158.0,67.5
1478,183.0,70.0
1479,221.0,71.0
1481,235.0,72.0
1485,279.0,68.0
1486,165.0,68.0
1492,178.0,58.0
1493,270.0,69.0
1495,211.5,68.5
1496,116.0,62.0
1497,150.0,70.0
1498,166.0,66.0
1500,168.5,69.0
1501,109.0,63.0
1502,253.0,70.5
1503,185.0,74.0
1506,185.5,76.0
1509,165.0,70.0
1510,112.0,63.0
1512,138.0,68.0
1514,185.0,68.0
1517,122.0,63.0
1518,183.5,60.0
1521,121.0,62.0
1522,158.5,66.0
1523,109.0,64.75
1526,116.0,69.0
1527,107.0,65.0
1530,137.0,68.0
1531,204.5,65.75
1532,143.5,64.0
1534,204.5,74.75
1535,126.5,67.0
1536,248.0,64.0
1537,96.5,63.5
1539,134.0,65.0
1540,136.0,69.0
1541,211.0,69.0
1544,136.0,68.0
1545,210.0,65.5
1548,124.0,65.5
1549,168.0,61.0
1550,121.0,63.0
1551,152.5,72.5
1552,128.0,67.0
1555,181.0,71.0
1556,145.0,63.5
1557,206.0,70.0
1558,131.0,63.0
1562,214.0,68.0
1568,121.0,64.0
1569,131.0,68.0
1575,165.0,71.5
1576,188.5,62.0
1577,130.0,65.0
1578,154.0,66.0
1579,158.0,70.0
1580,114.0,62.0
1581,145.5,62.0
1584,122.0,64.0
1587,168.01,70.0
1588,135.0,71.0
1590,123.0,64.0
1593,209.5,69.0
1594,149.0,64.5
1595,116.0,62.0
1596,134.0,62.0
1598,111.0,64.75
1599,133.0,64.0
1600,177.0,62.0
1602,135.0,68.0
1603,175.0,70.5
1604,247.0,67.0
1605,138.0,67.5
1607,188.5,69.0
1608,167.5,72.0
1609,164.0,74.0
1612,139.0,65.0
1613,127.0,66.0
1614,195.0,73.0
1615,156.0,65.0
1616,160.0,74.0
1617,198.0,68.0
1621,134.0,60.0
1622,184.0,68.0
1623,143.0,68.0
1624,103.0,63.0
1625,134.5,67.0
1628,92.5,60.0
1629,127.0,65.0
1630,173.0,71.0
1631,118.0,62.0
1632,129.5,64.0
1634,115.0,67.0
1635,107.0,65.0
1637,138.5,68.0
1639,153.5,64.0
1641,178.0,69.0
1644,130.0,65.0
1645,152.0,64.0
1646,189.0,71.0
1648,216.5,67.0
1649,129.0,63.0
1650,201.0,76.0
1652,127.5,63.0
1654,139.0,63.0
1656,130.5,64.0
1661,211.0,65.0
1662,75.0,58.0
1663,113.5,62.0
1664,246.0,67.0
1665,221.5,72.0
1666,123.0,64.0
1667,166.0,74.0
1668,152.5,72.5
1669,240.0,67.0
1671,147.0,62.0
1672,179.0,69.0
1673,127.0,64.0
1674,127.5,67.0
1675,147.0,64.0
1676,126.0,63.0
1677,182.5,65.0
1678,130.0,63.0
1681,113.5,63.0
1682,149.0,67.0
1683,136.0,65.0
1684,117.0,67.0
1685,140.0,63.0
1686,247.0,70.0
1687,148.0,67.0
1688,161.0,66.0
1690,184.0,72.0
1691,153.0,65.0
1692,102.0,61.0
1694,112.0,62.0
1695,168.0,71.0
1697,168.01,70.0
1698,117.0,69.0
1699,144.0,66.5
1700,208.0,65.0
1702,223.5,75.5
1705,209.5,69.0
1706,182.0,66.0
1708,152.5,70.0
1710,186.5,72.5
1711,138.0,5.1
1713,149.5,69.0
1714,212.0,77.5
1717,123.0,62.0
1719,205.0,68.0
1720,131.0,66.0
1722,148.0,64.0
1724,170.0,72.0
1727,167.5,72.0
1728,139.0,65.0
1731,190.0,61.0
1733,150.0,69.0
1734,140.0,64.0
1735,160.0,74.0
1737,127.5,64.0
1739,136.5,64.0
1740,121.5,63.0
1741,225.0,62.0
1743,168.0,67.0
1744,116.0,62.0
1745,133.0,66.0
1746,131.0,66.5
1747,180.0,71.0
1749,225.0,66.0
1750,199.0,65.0
1751,152.0,70.0
1756,92.5,59.0
1759,150.0,63.0
